Media Source,Date,Text,Compound score,Negative,Neutral,Positive,Tweets Ago
BBC,Thu Jul 26 17:01:06 +0000 2018,A dog called Minnie has been reunited with her owners two years after thieves stole a truck she was sleeping in. 🐶… https://t.co/CzeVkauFSx,-0.5106,0.142,0.858,0.0,83
BBC,Thu Jul 26 16:11:16 +0000 2018,"RT @bbcpress: Late for the first game of @BBCMOTD, missed the first dance on #Strictly or tuned in halfway through #EastEnders? Pushing the…",-0.296,0.091,0.909,0.0,84
BBC,Thu Jul 26 16:02:03 +0000 2018,"😀♥️ Four-year-old Daniel and 91-year-old Stuart, who has dementia, have struck up an unlikely friendship.  https://t.co/DVpVhIssTc",0.2263,0.106,0.741,0.153,85
BBC,Thu Jul 26 15:40:44 +0000 2018,RT @bbcweather: It is officially the hottest day of the year so far in the UK with temperatures soaring to 35C in west London. https://t.co…,0.0,0.0,1.0,0.0,86
BBC,Thu Jul 26 13:01:05 +0000 2018,"""I would like to do it all over again. There was a war on but otherwise it was absolutely wonderful."" ❤️️

Remember… https://t.co/1cSKgxW5gF",-0.1779,0.101,0.826,0.072,87
BBC,Thu Jul 26 12:02:06 +0000 2018,"😮 You don't want to get between two fighting kangaroos!
#LifeStory https://t.co/xX95kVkWJU",-0.4614,0.308,0.692,0.0,88
BBC,Thu Jul 26 11:00:16 +0000 2018,"A record number of primary school children are leaving school severely obese, according to new figures from Public… https://t.co/nmc8w0pnGW",-0.4019,0.148,0.788,0.064,89
BBC,Thu Jul 26 08:45:35 +0000 2018,"RT @BBCEngland: The last living female pilot from World War Two, Mary Ellis, has died aged 101 at her home on the Isle of Wight https://t.c…",-0.8176,0.238,0.762,0.0,90
BBC,Thu Jul 26 08:00:00 +0000 2018,"This school is tackling their single-use plastic problem one lunchbox at a time.
#PlasticsAction https://t.co/dBJBC46C06",-0.4019,0.172,0.828,0.0,91
BBC,Thu Jul 26 07:28:06 +0000 2018,We call violence an ‘epidemic’ – and there is reason to take that literally... treating it like an infectious disea… https://t.co/871oH89IB6,-0.3818,0.167,0.732,0.102,92
BBC,Thu Jul 26 07:01:02 +0000 2018,"♨️😴 Having trouble sleeping in this heatwave?
#HeatwaveUK https://t.co/N8Nstm5gC7",-0.4019,0.252,0.748,0.0,93
BBC,Wed Jul 25 19:02:00 +0000 2018,"Colin Firth stars in an award-winning adaptation of Jane Austen's classic romance. 📚😍

Pride and Prejudice |… https://t.co/bgxyIt8i5g",0.4019,0.136,0.617,0.247,94
BBC,Wed Jul 25 18:02:05 +0000 2018,"From @rosskemp to @sirpatstew: these are the ultimate Extras celebrity cameos. 😂

https://t.co/MzLh704sPC",0.0,0.0,1.0,0.0,95
BBC,Wed Jul 25 16:02:05 +0000 2018,"Is this Africa’s most inventive neighbourhood? 💡🌿🥑

https://t.co/xgeQCMM1XP",0.0,0.0,1.0,0.0,96
BBC,Wed Jul 25 14:37:40 +0000 2018,"Researchers have found evidence of an existing body of liquid water on Mars.
👉 https://t.co/cmykUjdfxy https://t.co/F45qHNXcOR",0.0,0.0,1.0,0.0,97
BBC,Wed Jul 25 13:57:01 +0000 2018,RT @BBCWthrWatchers: On Friday night you may see the moon turn red during a total lunar eclipse. Lasting 1 hr 40 mins it will be the longes…,0.0,0.0,1.0,0.0,98
BBC,Wed Jul 25 13:02:05 +0000 2018,"💉 A jab that protects against a virus that causes cervical cancer will be given to boys aged 12 to 13 in England.
👉… https://t.co/joOj8vMupR",-0.4767,0.165,0.749,0.086,99
CBS,Tue Jul 31 21:02:33 +0000 2018,Celebrate #NationalAvocadoDay with @letsmakeadeal. 🥑 Relive this #LMAD moment when an avocado wins one amazing deal! https://t.co/QS8GLajWU5,0.9098,0.0,0.531,0.469,0
CBS,Sat Jul 28 16:43:56 +0000 2018,"Housewives. PTA moms. School volunteers. Starting TONIGHT, hear the stories of seemingly innocent women who put it… https://t.co/5TA15OiTuh",0.34,0.0,0.876,0.124,1
